__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726873519.259577,,,,,,,,,,,,,1726873519.259576559,-0.124698985,-0.103568564,0.381808251,0.037921235,-0.071433999,2.361844141,0.920696259,0.379461437,0.321922928,0.513724506
1726873519.259670,,,,,,,,,,,,,1726873519.259669542,-0.126185332,-0.105351732,0.379754841,0.038432565,-0.072446428,2.366416407,0.921445012,0.379492402,0.322113007,0.513791621
1726873519.269586,,,,,,,,,,,,,1726873519.269585609,-0.129499065,-0.104661580,0.377439559,0.040279131,-0.072645307,2.371497816,0.922301233,0.379550844,0.322292119,0.513875663
1726873519.279583,,,,,,,,,,,,,1726873519.279582977,-0.086904356,-0.073711988,0.359232992,0.027335811,-0.049922768,2.408657118,0.931510687,0.382400632,0.323010087,0.517033756
1726873519.289577,,,,,,,,,,,,,1726873519.289576530,-0.090057080,-0.077437157,0.357361287,0.028246230,-0.052159924,2.412851495,0.932080746,0.382388413,0.323176086,0.517020583
1726873519.299584,,,,,,,,,,,,,1726873519.299583673,-0.091567452,-0.078179867,0.354677349,0.028971562,-0.052689474,2.418663020,0.933053315,0.382435888,0.323376417,0.517103970
1726873519.309579,,,,,,,,,,,,,1726873519.309578896,-0.092981901,-0.081868188,0.353159398,0.029071039,-0.054609131,2.422062682,0.933515549,0.382473052,0.323584348,0.517129421
1726873519.309676,,,,,,,,,,,,,1726873519.309676170,-0.096816354,-0.080664431,0.350634515,0.031225037,-0.054632511,2.427518424,0.934395969,0.382505298,0.323699951,0.517205656
1726873519.319567,,,,,,,,,,,,,1726873519.319567442,-0.084057542,-0.175753107,0.360480279,0.007612079,-0.096864186,2.407761499,0.927692533,0.381114602,0.323816061,0.514663517
1726873519.329580,,,,,,,,,,,,,1726873519.329579830,-0.084420896,-0.178643804,0.360945642,0.007213183,-0.098272592,2.406807556,0.927366555,0.381020099,0.324034214,0.514755428
